Beer_Name,ABV,IBU,Style,Ounces,Name.y,City,State
Bunker Hill Blueberry Ale ,0.048,16,Other,12,Beer Works Brewery,Lowell, MA
Peach Pale Ale,0.057,40,American Pale Ale (APA),12,Lone Tree Brewing Company,Lone Tree, CO
Four String Vanilla Porter,0.06,NA,American Porter,12,Four String Brewing Company,Columbus, OH
Suncaster Summer Wheat,0.05,28,American Pale Wheat Ale,12,Four String Brewing Company,Columbus, OH
Brass Knuckle Pale Ale,0.057,36,American Pale Ale (APA),12,Four String Brewing Company,Columbus, OH
Big Star White IPA,0.07,70,American White IPA,12,Four String Brewing Company,Columbus, OH
Clean Shave IPA,0.067,70,American IPA,12,Glabrous Brewing Company,Pineland, ME
Firestarter India Pale Ale,0.066,72,American IPA,12,Bonfire Brewing Company,Eagle, CO
Kilt Dropper Scotch Ale,0.075,22,Scotch Ale / Wee Heavy,16,Bonfire Brewing Company,Eagle, CO
Wood Splitter Pilsner,0.048,30,Czech Pilsener,16,Bonfire Brewing Company,Eagle, CO
Gyptoberfest,0.056,26,Märzen / Oktoberfest,12,Bonfire Brewing Company,Eagle, CO
Farmer Wirtz India Pale Ale,0.07,94,English India Pale Ale (IPA),16,Bonfire Brewing Company,Eagle, CO
Slow & Steady Golden Ale,0.047,NA,American Blonde Ale,12,Bonfire Brewing Company,Eagle, CO
Pink-I Raspberry IPA,0.068,NA,American IPA,16,Bonfire Brewing Company,Eagle, CO
Moe's Original Bar B Que 'Bama Brew Golden Ale,0.047,NA,American Blonde Ale,12,Bonfire Brewing Company,Eagle, CO
Live Local Golden Ale,0.047,NA,American Blonde Ale,12,Bonfire Brewing Company,Eagle, CO
Screaming Eagle Special Ale ESB,0.048,38,Extra Special / Strong Bitter (ESB),12,Bonfire Brewing Company,Eagle, CO
Dirtbag Dunkel,0.049,NA,Munich Dunkel Lager,16,Bonfire Brewing Company,Eagle, CO
Kindler Pale Ale,0.053,45,American Pale Ale (APA),12,Bonfire Brewing Company,Eagle, CO
Mistress Winter Wheat,0.064,NA,Winter Warmer,12,Bonfire Brewing Company,Eagle, CO
Tent Pole Vanilla Porter,0.061,NA,American Porter,16,Bonfire Brewing Company,Eagle, CO
Awry Rye Pale Ale,0.058,NA,American Pale Ale (APA),12,Bonfire Brewing Company,Eagle, CO
Demshitz Brown Ale,0.058,NA,American Brown Ale,12,Bonfire Brewing Company,Eagle, CO
Wood Splitter Pilsner (2012),0.048,NA,Czech Pilsener,12,Bonfire Brewing Company,Eagle, CO
Brush Creek Blonde,0.048,NA,American Blonde Ale,16,Bonfire Brewing Company,Eagle, CO
Firestarter India Pale Ale,0.066,72,American IPA,16,Bonfire Brewing Company,Eagle, CO
Watermelon Ale,0.051,11,Fruit / Vegetable Beer,12,Thomas Hooker Brewing Company,Bloomfield, CT
4000 Footer IPA,0.065,82,American IPA,12,"Woodstock Inn, Station & Brewery",North Woodstock, NH
Summer Brew,0.028,15,American Pilsner,12,"Woodstock Inn, Station & Brewery",North Woodstock, NH
Consilium,0.05,40,American Pale Ale (APA),12,Renegade Brewing Company,Denver, CO
Hammer & Sickle,0.09,60,Russian Imperial Stout,12,Renegade Brewing Company,Denver, CO
Redacted Rye IPA,0.07,100,American IPA,16,Renegade Brewing Company,Denver, CO
Elevation Triple India Pale Ale,0.099,100,American Double / Imperial IPA,12,Renegade Brewing Company,Denver, CO
5:00 O'Clock Afternoon Ale,0.05,25,American Blonde Ale,16,Renegade Brewing Company,Denver, CO
Ryeteous Rye IPA (2012),0.07,100,American IPA,16,Renegade Brewing Company,Denver, CO
Cali Creamin',0.052,21,Cream Ale,12,Mother Earth Brew Company,Vista, CA
Deception,0.045,16,American Blonde Ale,12,Black Market Brewing Company,Temecula, CA
Blackmarket Rye IPA,0.075,35,American IPA,12,Black Market Brewing Company,Temecula, CA
Black Market Hefeweizen,0.05,8,Hefeweizen,12,Black Market Brewing Company,Temecula, CA
Aftermath Pale Ale,0.058,44,American Pale Ale (APA),12,Black Market Brewing Company,Temecula, CA
Nitro Can Coffee Stout,0.052,NA,American Stout,12,Vault Brewing Company,Yardley, PA
Welcome to Scoville,0.069,NA,American IPA,12,Jailbreak Brewing Company,Laurel, MD
Rule G IPA,0.07,88,American IPA,12,Smartmouth Brewing Company,Norfolk, VA
Murphy's Law,0.058,35,American Amber / Red Ale,12,Smartmouth Brewing Company,Norfolk, VA
Alter Ego ,0.062,33,Saison / Farmhouse Ale,12,Smartmouth Brewing Company,Norfolk, VA
Hop in the ‘Pool Helles,0.049,22,American Pilsner,12,Base Camp Brewing Co.,Portland, OR
Ultra Gnar Gnar IPA,0.067,60,American IPA,12,Base Camp Brewing Co.,Portland, OR
In-Tents India Pale Lager,0.068,62,American Pale Lager,12,Base Camp Brewing Co.,Portland, OR
Lost Meridian Wit,0.05,20,Witbier,12,Base Camp Brewing Co.,Portland, OR
Celestial Meridian Cascadian Dark Lager,0.051,45,Euro Dark Lager,12,Base Camp Brewing Co.,Portland, OR
P-Town Pilsner,0.04,20,American Pilsner,12,Alameda Brewing,Portland, OR
Klickitat Pale Ale,0.053,36,American Pale Ale (APA),12,Alameda Brewing,Portland, OR
Yellow Wolf Imperial IPA,0.082,103,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR
Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),12,Southern Star Brewing Company,Conroe, TX
Walloon,0.055,NA,Saison / Farmhouse Ale,12,Southern Star Brewing Company,Conroe, TX
Le Mort Vivant,0.069,23,Bière de Garde,12,Southern Star Brewing Company,Conroe, TX
Red Cockaded Ale,0.085,110,American Double / Imperial IPA,12,Southern Star Brewing Company,Conroe, TX
Valkyrie Double IPA,0.092,100,American Double / Imperial IPA,12,Southern Star Brewing Company,Conroe, TX
Red Cockaded Ale (2013),0.085,110,American Double / Imperial IPA,12,Southern Star Brewing Company,Conroe, TX
Old Potentate,0.072,40,Old Ale,12,Southern Star Brewing Company,Conroe, TX
Bombshell Blonde,0.05,20,American Blonde Ale,16,Southern Star Brewing Company,Conroe, TX
PRO-AM (2012) (2012),0.099,100,American Double / Imperial IPA,12,Southern Star Brewing Company,Conroe, TX
Walloon (2014),0.055,NA,Saison / Farmhouse Ale,12,Southern Star Brewing Company,Conroe, TX
Le Mort Vivant (2011),0.069,23,Bière de Garde,12,Southern Star Brewing Company,Conroe, TX
Buried Hatchet Stout,0.083,50,Foreign / Export Stout,12,Southern Star Brewing Company,Conroe, TX
Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),16,Southern Star Brewing Company,Conroe, TX
Bombshell Blonde,0.05,20,American Blonde Ale,12,Southern Star Brewing Company,Conroe, TX
Third Eye Enlightened Pale Ale,0.065,65,American Pale Ale (APA),12,Steamworks Brewing Company,Durango, CO
Colorado Kölsch,0.049,17,Kölsch,12,Steamworks Brewing Company,Durango, CO
Steam Engine Lager,0.057,25,American Amber / Red Lager,12,Steamworks Brewing Company,Durango, CO
Third Eye Pale Ale,0.065,65,American IPA,12,Steamworks Brewing Company,Durango, CO
Watermelon Wheat,0.056,NA,American Pale Wheat Ale,12,Horny Goat Brew Pub,Milwaukee, WI
Laka Laka Pineapple,0.051,17,Hefeweizen,12,Horny Goat Brew Pub,Milwaukee, WI
Oktoberfest,0.06,NA,Märzen / Oktoberfest,16,Horny Goat Brew Pub,Milwaukee, WI
IPA #11,0.057,58,American IPA,16,Cheboygan Brewing Company,Cheboygan, MI
Blood Orange Honey,0.057,10,Fruit / Vegetable Beer,16,Cheboygan Brewing Company,Cheboygan, MI
Lighthouse Amber,0.052,NA,Altbier,16,Cheboygan Brewing Company,Cheboygan, MI
Main St. Virginia Ale,0.05,40,Altbier,12,Center of the Universe Brewing C...,Ashland, VA
Chin Music Amber Lager,0.045,24,American Amber / Red Lager,12,Center of the Universe Brewing C...,Ashland, VA
Main St. Virginia Ale,0.05,40,Altbier,12,Center of the Universe Brewing C...,Ashland, VA
Ray Ray’s Pale Ale,0.052,42,American Pale Ale (APA),12,Center of the Universe Brewing C...,Ashland, VA
Summer Ale,0.049,NA,American Blonde Ale,12,Ipswich Ale Brewery,Ipswich, MA
Mr. Blue Sky,0.045,6,American Pale Wheat Ale,16,Griffin Claw Brewing Company,Birmingham, MI
3 Scrooges,0.065,NA,Winter Warmer,16,Griffin Claw Brewing Company,Birmingham, MI
Screamin’ Pumpkin,0.05,25,Pumpkin Ale,16,Griffin Claw Brewing Company,Birmingham, MI
Grand Trunk Bohemian Pils,0.05,35,Czech Pilsener,16,Griffin Claw Brewing Company,Birmingham, MI
El Rojo,0.065,25,American Amber / Red Ale,16,Griffin Claw Brewing Company,Birmingham, MI
Norm's Raggedy Ass IPA,0.075,NA,American IPA,16,Griffin Claw Brewing Company,Birmingham, MI
Grind Line,0.05,35,American Pale Ale (APA),16,Griffin Claw Brewing Company,Birmingham, MI
Norm's Gateway IPA,0.04,55,American IPA,12,Griffin Claw Brewing Company,Birmingham, MI
Lemon Shandy Tripel,0.09,NA,Tripel,16,Griffin Claw Brewing Company,Birmingham, MI
Weisse Versa (2012),0.052,16,Hefeweizen,12,Karbach Brewing Company,Houston, TX
Mother in Lager,0.058,25,Munich Dunkel Lager,12,Karbach Brewing Company,Houston, TX
Weekend Warrior Pale Ale,0.055,40,American Pale Ale (APA),12,Karbach Brewing Company,Houston, TX
Karbachtoberfest,0.055,25,Märzen / Oktoberfest,12,Karbach Brewing Company,Houston, TX
Love Street Summer Seasonal (2014),0.047,20,Kölsch,12,Karbach Brewing Company,Houston, TX
Barn Burner Saison,0.066,20,Saison / Farmhouse Ale,12,Karbach Brewing Company,Houston, TX
Rodeo Clown Double IPA,0.095,85,American Double / Imperial IPA,12,Karbach Brewing Company,Houston, TX
Sympathy for the Lager,0.049,45,American Amber / Red Lager,12,Karbach Brewing Company,Houston, TX
Weisse Versa,0.052,15,Hefeweizen,12,Karbach Brewing Company,Houston, TX
Hopadillo India Pale Ale,0.066,70,American IPA,12,Karbach Brewing Company,Houston, TX
The Green Room,0.06,75,American IPA,16,Uncle Billy's Brewery and Smokeh...,Austin, TX
Humbucker Helles,0.047,25,Maibock / Helles Bock,16,Uncle Billy's Brewery and Smokeh...,Austin, TX
Neato Bandito,0.06,NA,Euro Pale Lager,12,Deep Ellum Brewing Company,Dallas, TX
Oak Cliff Coffee Ale,0.075,33,American Brown Ale,12,Deep Ellum Brewing Company,Dallas, TX
Dream Crusher Double IPA,0.085,100,American Double / Imperial IPA,12,Deep Ellum Brewing Company,Dallas, TX
Deep Ellum Pale Ale,0.06,NA,American Pale Ale (APA),12,Deep Ellum Brewing Company,Dallas, TX
Double Brown Stout,0.07,NA,Baltic Porter,12,Deep Ellum Brewing Company,Dallas, TX
Farmhouse Wit,0.048,25,Saison / Farmhouse Ale,16,Deep Ellum Brewing Company,Dallas, TX
Rye Pils Session Lager,0.046,NA,German Pilsener,12,Deep Ellum Brewing Company,Dallas, TX
Dallas Blonde,0.052,23,American Blonde Ale,12,Deep Ellum Brewing Company,Dallas, TX
Deep Ellum IPA,0.07,70,American IPA,12,Deep Ellum Brewing Company,Dallas, TX
18th Anniversary Gose,0.044,5,Gose,12,Real Ale Brewing Company,Blanco, TX
White (2015),0.046,25,Witbier,12,Real Ale Brewing Company,Blanco, TX
BLAKKR,0.099,85,American Black Ale,12,Real Ale Brewing Company,Blanco, TX
Firemans #4 Blonde Ale (2013),0.051,21,American Blonde Ale,12,Real Ale Brewing Company,Blanco, TX
The Sword Iron Swan Ale,0.059,NA,English Pale Ale,12,Real Ale Brewing Company,Blanco, TX
Hans' Pils (2015),0.053,52,German Pilsener,12,Real Ale Brewing Company,Blanco, TX
Four Squared (2015),0.06,50,American Blonde Ale,12,Real Ale Brewing Company,Blanco, TX
Firemans #4 Blonde Ale (2015),0.051,21,American Blonde Ale,12,Real Ale Brewing Company,Blanco, TX
Straub Beer (Current),0.05,NA,American Adjunct Lager,12,Straub Brewery,St Mary's, PA
American Lager,0.041,8,American Adjunct Lager,12,Straub Brewery,St Mary's, PA
American Amber,0.041,8,American Amber / Red Lager,12,Straub Brewery,St Mary's, PA
American Light,0.032,13,Light Lager,12,Straub Brewery,St Mary's, PA
Black Hop IPA,0.068,NA,American Black Ale,12,Shebeen Brewing Company,Wolcott, CT
Point Special (Current),0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Point Special,0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Point Cascade Pale Ale (2013),0.054,33,American Pale Ale (APA),12,Stevens Point Brewery,Stevens Point, WI
Point Special,0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Onyx Black Ale,0.052,9,American Black Ale,12,Stevens Point Brewery,Stevens Point, WI
Beyond The Pale IPA,0.063,64,American IPA,12,Stevens Point Brewery,Stevens Point, WI
Point Special (2013),0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Point Special (2012),0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Point Special Lager,0.047,9,American Adjunct Lager,16,Stevens Point Brewery,Stevens Point, WI
St. Benedict's Winter Ale,0.062,NA,Winter Warmer,12,Stevens Point Brewery,Stevens Point, WI
Point Oktoberfest,0.057,15,Märzen / Oktoberfest,16,Stevens Point Brewery,Stevens Point, WI
Point Nude Beach Summer Wheat,0.052,7,American Pale Wheat Ale,16,Stevens Point Brewery,Stevens Point, WI
Point Nude Beach Summer Wheat,0.05,7,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI
Point Nude Beach Summer Wheat (2011),0.05,7,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI
Drop Dead Blonde,0.035,NA,American Blonde Ale,12,Stevens Point Brewery,Stevens Point, WI
Three Kings Ale,0.049,13,Kölsch,12,Stevens Point Brewery,Stevens Point, WI
Point Oktoberfest,0.057,15,Märzen / Oktoberfest,12,Stevens Point Brewery,Stevens Point, WI
2012 Black Ale,0.054,32,American Brown Ale,12,Stevens Point Brewery,Stevens Point, WI
Point Nude Beach Summer Wheat (2010),0.05,7,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI
Point Cascade Pale Ale,0.054,33,American Pale Ale (APA),12,Stevens Point Brewery,Stevens Point, WI
Point Amber Classic,0.047,14,American Amber / Red Lager,12,Stevens Point Brewery,Stevens Point, WI
Point Special Lager,0.047,9,American Adjunct Lager,12,Stevens Point Brewery,Stevens Point, WI
Royal Lager,NA,NA,American Pale Lager,16,Weston Brewing Company,Weston, MO
Rip Van Winkle (Current),0.08,NA,Bock,12,Weston Brewing Company,Weston, MO
O’Malley’s Stout,NA,NA,English Stout,12,Weston Brewing Company,Weston, MO
O’Malley’s IPA,0.075,89,American IPA,12,Weston Brewing Company,Weston, MO
O’Malley’s Irish Style Cream Ale,NA,NA,Cream Ale,12,Weston Brewing Company,Weston, MO
L'il Lucy's Hot Pepper Ale,0.049,28,Chile Beer,12,Weston Brewing Company,Weston, MO
Drop Kick Ale,0.052,NA,American Amber / Red Ale,12,Weston Brewing Company,Weston, MO
2014 IPA Cicada Series,0.075,72,American IPA,16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Sinister Minister Black IPA,0.077,65,American IPA,16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Jack the Sipper,0.053,45,Extra Special / Strong Bitter (ESB),12,Southern Prohibition Brewing Com...,Hattiesburg, MS
Devil's Harvest Extra Pale Ale,0.058,60,American Pale Ale (APA),12,Southern Prohibition Brewing Com...,Hattiesburg, MS
Suzy B Dirty Blonde Ale,0.05,20,American Blonde Ale,12,Southern Prohibition Brewing Com...,Hattiesburg, MS
Mississippi Fire Ant,0.08,80,American Amber / Red Ale,16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Hipster Breakfast,0.058,40,Oatmeal Stout,16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Suzy B Dirty Blonde Ale,0.05,20,American Blonde Ale,16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Devil's Harvest Extra Pale Ale,0.058,60,American Pale Ale (APA),16,Southern Prohibition Brewing Com...,Hattiesburg, MS
Axe Head Malt Liquor,0.099,NA,American Malt Liquor,24,Minhas Craft Brewery,Monroe, WI
Huber Bock (2014),0.054,NA,Bock,16,Minhas Craft Brewery,Monroe, WI
Minhas Light (2012),0.04,NA,Light Lager,12,Minhas Craft Brewery,Monroe, WI
Huber,0.05,NA,American Pale Lager,12,Minhas Craft Brewery,Monroe, WI
Clear Creek Ice,0.062,NA,American Pale Lager,16,Minhas Craft Brewery,Monroe, WI
Clear Creek Ice,0.062,NA,American Pale Lager,12,Minhas Craft Brewery,Monroe, WI
Mountain Crest,0.055,NA,American Pale Lager,16,Minhas Craft Brewery,Monroe, WI
Mountain Crest,0.055,NA,American Pale Lager,12,Minhas Craft Brewery,Monroe, WI
Mountain Creek (2013),0.055,NA,American Pale Lager,12,Minhas Craft Brewery,Monroe, WI
Boxer,0.05,NA,American Adjunct Lager,24,Minhas Craft Brewery,Monroe, WI
Boxer Light,0.042,NA,Light Lager,12,Minhas Craft Brewery,Monroe, WI
Boxer Ice,0.055,NA,American Adjunct Lager,12,Minhas Craft Brewery,Monroe, WI
Boxer,0.05,NA,American Adjunct Lager,12,Minhas Craft Brewery,Monroe, WI
Morning Wood Wheat (Current),0.059,14,American Pale Wheat Ale,12,Pug Ryan's Brewery,Dillon, CO
Hideout Helles,0.069,17,Munich Helles Lager,12,Pug Ryan's Brewery,Dillon, CO
Dead Eye Dunkel,0.06,15,Munich Dunkel Lager,12,Pug Ryan's Brewery,Dillon, CO
Peacemaker Pilsner,0.058,21,Czech Pilsener,12,Pug Ryan's Brewery,Dillon, CO
Over the Rail Pale Ale,0.057,68,American Pale Ale (APA),12,Pug Ryan's Brewery,Dillon, CO
Pallavicini Pilsner (2009),0.058,21,Czech Pilsener,12,Pug Ryan's Brewery,Dillon, CO
Morning Wood Wheat (Current),0.059,14,American Pale Wheat Ale,12,Pug Ryan's Brewery,Dillon, CO
Porter Culture,0.065,NA,American Porter,12,Hops & Grains Brewing Company,Austin, TX
Sietsema Red Label,0.069,NA,Cider,16,Sietsema Orchards and Cider Mill,Ada, MI
Extra Pale Ale,0.053,49,American Pale Ale (APA),12,Summit Brewing Company,St Paul, MN
Behemoth,0.05,NA,American Pilsner,12,Core Brewing & Distilling Company,Springdale, AR
Arkansas Red,0.052,NA,American Amber / Red Ale,12,Core Brewing & Distilling Company,Springdale, AR
Core Oatmeal Stout,0.057,NA,Oatmeal Stout,12,Core Brewing & Distilling Company,Springdale, AR
Core ESB,0.061,NA,Extra Special / Strong Bitter (ESB),12,Core Brewing & Distilling Company,Springdale, AR
Oklahoma Suks,0.048,32,American Amber / Red Ale,12,Independence Brewing Company,Austin, TX
Power & Light,0.055,42,American Pale Ale (APA),12,Independence Brewing Company,Austin, TX
White Rabbit ,0.059,27,Witbier,12,Independence Brewing Company,Austin, TX
Cubano Espresso,0.055,25,Bock,12,Cigar City Brewing Company,Tampa, FL
Operation Homefront,0.062,65,American IPA,12,Cigar City Brewing Company,Tampa, FL
Wandering Pelican,0.082,65,American Black Ale,12,Cigar City Brewing Company,Tampa, FL
Sugar Plum,0.055,NA,American Brown Ale,12,Cigar City Brewing Company,Tampa, FL
Oktoberfest,0.055,NA,Märzen / Oktoberfest,12,Cigar City Brewing Company,Tampa, FL
Puppy's Breath Porter,0.06,NA,American Porter,12,Cigar City Brewing Company,Tampa, FL
Happening Now,0.045,NA,American IPA,12,Cigar City Brewing Company,Tampa, FL
Hopped on the High Seas (Hop #529),0.07,60,American IPA,12,Cigar City Brewing Company,Tampa, FL
Hopped on the High Seas (Calypso),0.07,60,American IPA,12,Cigar City Brewing Company,Tampa, FL
Wiregrass Post-Prohibition Ale,0.063,NA,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL
Dry-Hopped On The High Seas Caribbean-Style IPA,0.07,60,American IPA,12,Cigar City Brewing Company,Tampa, FL
Hopped on the High Seas (Citra),0.07,60,American IPA,12,Cigar City Brewing Company,Tampa, FL
Hopped on the High Seas (Ahtanum),0.07,60,American IPA,12,Cigar City Brewing Company,Tampa, FL
Gwar Beer,0.055,NA,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL
Tropical Heatwave,0.052,NA,American Pale Wheat Ale,16,Cigar City Brewing Company,Tampa, FL
Humidor Series India Pale Ale,0.075,70,American IPA,12,Cigar City Brewing Company,Tampa, FL
Jai Alai IPA Aged on White Oak,0.075,70,American IPA,12,Cigar City Brewing Company,Tampa, FL
José Martí American Porter,0.08,65,American Porter,12,Cigar City Brewing Company,Tampa, FL
Invasion Pale Ale,0.05,NA,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL
Maduro Brown Ale,0.055,25,English Brown Ale,12,Cigar City Brewing Company,Tampa, FL
Maduro Brown Ale,0.055,25,American Brown Ale,12,Cigar City Brewing Company,Tampa, FL
Hotter Than Helles Lager,0.05,NA,Munich Helles Lager,12,Cigar City Brewing Company,Tampa, FL
Tocobaga Red Ale,0.072,75,American Amber / Red Ale,12,Cigar City Brewing Company,Tampa, FL
Jai Alai IPA,0.075,70,American IPA,12,Cigar City Brewing Company,Tampa, FL
Florida Cracker Belgian Wit,0.05,18,Witbier,12,Cigar City Brewing Company,Tampa, FL
Hunny Do Wheat,0.048,18,American Pale Wheat Ale,12,Third Street Brewhouse,Cold Spring, MN
Three Way Pale Ale,0.052,NA,American Pale Ale (APA),12,Third Street Brewhouse,Cold Spring, MN
Rise to the Top,0.041,NA,Cream Ale,12,Third Street Brewhouse,Cold Spring, MN
Lost Trout Brown Ale,0.049,NA,American Brown Ale,12,Third Street Brewhouse,Cold Spring, MN
Gansett Light,0.037,10,Light Lager,16,Narragansett Brewing Company,Providence, RI
Bohemian Pils,0.052,30,American Pilsner,16,Narragansett Brewing Company,Providence, RI
Autocrat Coffee Milk Stout,0.053,30,Milk / Sweet Stout,16,Narragansett Brewing Company,Providence, RI
Narragansett Bohemian Pilsner,0.086,35,German Pilsener,16,Narragansett Brewing Company,Providence, RI
Narragansett Summer Ale,0.042,24,American Pale Wheat Ale,12,Narragansett Brewing Company,Providence, RI
Narragansett Cream Ale,0.05,22,Cream Ale,16,Narragansett Brewing Company,Providence, RI
Narragansett Summer Ale,0.042,24,American Pale Wheat Ale,16,Narragansett Brewing Company,Providence, RI
Narragansett Porter,0.07,22,American Porter,16,Narragansett Brewing Company,Providence, RI
Narragansett Bock,0.065,32,Bock,16,Narragansett Brewing Company,Providence, RI
Narragansett Fest Lager,0.055,15,Märzen / Oktoberfest,16,Narragansett Brewing Company,Providence, RI
Little Red Cap,0.063,43,Altbier,12,Grimm Brothers Brewhouse,Loveland, CO
Shark Tracker Light lager,0.048,NA,Light Lager,12,Cisco Brewers,Nantucket, MA
Pumple Drumkin,0.06,NA,Pumpkin Ale,12,Cisco Brewers,Nantucket, MA
Grey Lady,0.045,NA,Witbier,12,Cisco Brewers,Nantucket, MA
Summer of Lager,0.062,NA,Munich Helles Lager,12,Cisco Brewers,Nantucket, MA
Indie Pale Ale,0.065,NA,American IPA,12,Cisco Brewers,Nantucket, MA
Sankaty Light Lager,0.038,NA,Light Lager,12,Cisco Brewers,Nantucket, MA
Whale's Tale Pale Ale,0.056,NA,English Pale Ale,12,Cisco Brewers,Nantucket, MA
Charlie's Rye IPA,0.06,NA,American IPA,16,Angry Minnow,Hayward, WI
New Cleveland Palesner,0.05,NA,American Pilsner,12,Platform Beer Company,Cleveland, OH
Perpetual Darkness,0.092,72,Belgian Strong Dark Ale,12,Odyssey Beerwerks,Arvada, CO
Clan Warrior,0.087,29,Scotch Ale / Wee Heavy,12,Odyssey Beerwerks,Arvada, CO
Psycho Penguin Vanilla Porter,0.054,36,American Porter,12,Odyssey Beerwerks,Arvada, CO
Heliocentric Hefeweizen,0.047,NA,Hefeweizen,12,Odyssey Beerwerks,Arvada, CO
Ghose Drifter Pale Ale,0.051,NA,American Pale Ale (APA),12,Odyssey Beerwerks,Arvada, CO
Ghost Rider Pale Ale (2013),0.051,NA,American Pale Ale (APA),12,Odyssey Beerwerks,Arvada, CO
Helios Hefeweizen (2013),0.047,NA,Hefeweizen,12,Odyssey Beerwerks,Arvada, CO
Deadeye Jack,0.06,NA,American Porter,12,Lonerider Brewing Company,Raleigh, NC
Pistols at Dawn,0.075,NA,American Stout,16,Lonerider Brewing Company,Raleigh, NC
Peacemaker Pale Ale,0.057,47,American Pale Ale (APA),12,Lonerider Brewing Company,Raleigh, NC
Shotgun Betty,0.058,11,Hefeweizen,12,Lonerider Brewing Company,Raleigh, NC
Sweet Josie,0.061,30,American Brown Ale,12,Lonerider Brewing Company,Raleigh, NC
Watershed IPA,0.067,70,American IPA,12,Oakshire Brewing,Eugene, OR
Oakshire Amber Ale,0.054,24,American Amber / Red Ale,12,Oakshire Brewing,Eugene, OR
Overcast Espresso Stout,0.058,27,American Stout,12,Oakshire Brewing,Eugene, OR
Watershed IPA (2013),0.067,70,American IPA,12,Oakshire Brewing,Eugene, OR
Fort Pitt Ale,NA,NA,American Amber / Red Ale,12,Fort Pitt Brewing Company,Latrobe, PA
Turnrow Harvest Ale,0.055,NA,American Blonde Ale,12,Tin Roof Brewing Company,Baton Rouge, LA
Juke Joint IPA,0.07,60,American IPA,12,Tin Roof Brewing Company,Baton Rouge, LA
Parade Ground Coffee Porter,0.07,35,American Porter,12,Tin Roof Brewing Company,Baton Rouge, LA
Tin Roof Watermelon Wheat,0.05,21,Fruit / Vegetable Beer,12,Tin Roof Brewing Company,Baton Rouge, LA
Tin Roof Blonde Ale,0.045,18,American Blonde Ale,12,Tin Roof Brewing Company,Baton Rouge, LA
Voodoo Bengal Pale Ale,0.055,37,American Pale Ale (APA),12,Tin Roof Brewing Company,Baton Rouge, LA
Perfect Tin Amber,0.045,28,American Amber / Red Ale,12,Tin Roof Brewing Company,Baton Rouge, LA
Knotty Blonde Ale,0.04,18,American Blonde Ale,12,Three Creeks Brewing,Sisters, OR
Fivepine Chocolate Porter,0.062,40,American Porter,12,Three Creeks Brewing,Sisters, OR
Hoodoo Voodoo IPA,0.062,82,American IPA,12,Three Creeks Brewing,Sisters, OR
Ginja Ninja,0.06,NA,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Cherried Away,0.06,NA,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Rhubarbarian,0.06,NA,Cider,12,2 Towns Ciderhouse,Corvallis, OR
BrightCider,0.06,NA,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Hopportunity Knocks IPA,0.068,100,American IPA,12,Caldera Brewing Company,Ashland, OR
Pilot Rock Porter,0.06,NA,American Porter,12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale,0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Lawnmower Lager,0.039,16,American Adjunct Lager,12,Caldera Brewing Company,Ashland, OR
Ashland Amber Ale (2009),0.054,24,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR
Caldera IPA (2009),0.061,94,American IPA,12,Caldera Brewing Company,Ashland, OR
Caldera IPA (2007),0.061,94,American IPA,12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2010),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2009),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2005),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2007),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2011),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Ashland Amber Ale,0.054,24,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR
